section,id,ja,en,chs,cht,opt,flags
tjs,TJSInternalError,内部エラーが発生しました,Internal error,发生了内部错误,發生了內部錯誤,,
tjs,TJSWarning,警告: ,Warning: ,警告：,警告：,,
tjs,TJSWarnEvalOperator,グローバルでない場所で後置 ! 演算子が使われています(この演算子の挙動はTJS2 version 2.4.1 で変わりましたのでご注意ください),Non-global post-! operator is used (note that the post-! operator behavior is changed on TJS2 version 2.4.1),使用运算符时非全局变量放在后面。（请注意：当前运算符在 TJS 2.4.1 有作改动）,使用運算子時非全域變數放在後面。（請注意：目前運算子在 TJS 2.4.1 有所改動）,,
tjs,TJSNarrowToWideConversionError,文字列を UNICODE 文字列に変換できません。解釈できない文字が含まれてます。正しいデータが指定されているかを確認してください。データが破損している可能性もあります,Cannot convert given narrow string to wide string,不能将现有文字转换为 Unicode 文字。包含的有不能识别的文字在内。请确认 data 是否指定有误。,不能將現有文字轉換為 Unicode 文字。包含有無法識別的文字在內。請確認 data 是否指定有誤。,,
tjs,TJSVariantConvertError,%1 から %2 へ型を変換できません,Cannot convert the variable type (%1 to %2),不能转换变量类型 %1 到 %2,不能轉換變數類型 %1 到 %2,,
tjs,TJSVariantConvertErrorToObject,%1 から Object へ型を変換できません。Object 型が要求される文脈で Object 型以外の値が渡されるとこのエラーが発生します,Cannot convert the variable type (%1 to Object),不能将 %1 转换为 Object 类型,不能將 %1 轉換為 Object 類型,,
tjs,TJSIDExpected,識別子を指定してください,Specify an ID,请指定 ID,請指定 ID,,
tjs,TJSSubstitutionInBooleanContext,論理値が求められている場所で = 演算子が使用されています(== 演算子の間違いですか？代入した上でゼロと値を比較したい場合は、(A=B) != 0 の形式を使うことをお勧めします),Substitution in boolean context (use form of '(A=B)!=0' to compare to zero),请使用 = 运算符来对比。（使用 '(A=B)!=0' 来与 0 作对比）,請使用 = 運算子來對比。（使用 '(A=B)!=0' 來與 0 作對比）,,
tjs,TJSCannotModifyLHS,不正な代入か不正な式の操作です,This expression cannot be used as a lvalue,进行了错误的表达式,執行了錯誤的運算式,,
tjs,TJSInsufficientMem,メモリが足りません,Insufficient memory,内存不足,記憶體不足,,
tjs,TJSCannotGetResult,この式からは値を得ることができません,Cannot get the value of this expression,不能从当前表达式中获取到结果,不能從目前的運算式中取得結果,,
tjs,TJSNullAccess,null オブジェクトにアクセスしようとしました,Accessing to null object,发生了访问 null 对象,發生了存取 null 物件,,
tjs,TJSMemberNotFound,"メンバ ""%1"" が見つかりません","Member ""%1"" does not exist","未找到 Member ""%1""","未找到 Member ""%1""",,
tjs,TJSMemberNotFoundNoNameGiven,メンバが見つかりません,Member does not exist,未指名 Member 未找到,未指名 Member 未找到,,
tjs,TJSNotImplemented,呼び出そうとした機能は未実装です,Called method is not implemented,调用了未实现的方法,呼叫了未實作的方法,,
tjs,TJSInvalidParam,不正な引数です,Invalid argument,参数不合法,參數不合法,,
tjs,TJSBadParamCount,引数の数が不正です,Invalid argument count,参数个数有误,參數個數有誤,,
tjs,TJSInvalidType,関数ではないかプロパティの種類が違います,Not a function or invalid method/property type,不是一个 function 或者 方法/属性 有误,不是一個 function 或者 方法/屬性 有誤,,
tjs,TJSSpecifyDicOrArray,Dictionary または Array クラスのオブジェクトを指定してください,Specify a Dictionary object or an Array object,请声明为 Dictionary 或者 Array 对象类型,請宣告為 Dictionary 或者 Array 物件類型,,
tjs,TJSSpecifyArray,Array クラスのオブジェクトを指定してください,Specify an Array object,请声明为 Array 对象,請宣告為 Array 物件,,
tjs,TJSStringDeallocError,文字列メモリブロックを解放できません,Cannot free the string memory block,不能释放 string 内存区域,不能釋放 string 記憶體區域,,
tjs,TJSStringAllocError,文字列メモリブロックを確保できません,Cannot allocate the string memory block,不能创建 string 内存区域,不能建立 string 記憶體區域,,
tjs,TJSMisplacedBreakContinue,"""break"" または ""continue"" はここに書くことはできません","Cannot place ""break"" or ""continue"" here","不能写 ""break"" 或者 ""continue"" 到这里","不能將 ""break"" 或者 ""continue"" 寫在這裡",,
tjs,TJSMisplacedCase,"""case"" はここに書くことはできません","Cannot place ""case"" here","不能写 ""case"" 到这里","不能將 ""case"" 寫在這裡",,
tjs,TJSMisplacedReturn,"""return"" はここに書くことはできません","Cannot place ""return"" here","不能把 ""return"" 写到这里","不能將 ""return"" 寫在這裡",,
tjs,TJSStringParseError,文字列定数/正規表現/オクテット即値が終わらないままスクリプトの終端に達しました,Un-terminated string/regexp/octet literal,string/regxp/octet 处理时发生了错误,string/regxp/octet 處理時發生了錯誤,,
tjs,TJSNumberError,数値として解釈できません,Cannot be parsed as a number,number 处理时发生了错误,number 處理時發生了錯誤,,
tjs,TJSUnclosedComment,コメントが終わらないままスクリプトの終端に達しました,Un-terminated comment,注释未关闭,註解未關閉,,
tjs,TJSInvalidChar,不正な文字です : '%1',Invalid character '%1',未知字符：'%1',未知字元：'%1',,
tjs,TJSExpected,%1 がありません,Expected %1,异常发生：%1,發生例外：%1,,
tjs,TJSSyntaxError,文法エラーです(%1),Syntax error (%1),语法有误 （%1）,語法有誤 （%1）,,
tjs,TJSPPError,条件コンパイル式にエラーがあります,Error in conditional compiling expression,条件表达式错误,條件運算式錯誤,,
